,nDCG@5,nDCG@10,nDCG@50,p@5,p@10,p@50,r@5,r@10,r@50
basic,0.16423157,0.1737252,0.2083375,0.16449706,0.13136095,0.049007002,0.11195705,0.18111241,0.29820764
basic_semantics,0.16423157,0.17363109,0.20823634,0.16449706,0.13136095,0.049007002,0.11195705,0.18111241,0.29820764
basic_semantics_s10,0.16423157,0.17363109,0.20823634,0.16449706,0.13136095,0.049007002,0.11195705,0.18111241,0.29820764
basic_semantics_s20,0.16423157,0.17363109,0.20823547,0.16449706,0.13136095,0.049007002,0.11195705,0.18111241,0.29820764
basic_semantics_s30,0.16423157,0.17363109,0.20823152,0.16449706,0.13136095,0.049007002,0.11195705,0.18111241,0.29820764
basic_semantics_s40,0.16423157,0.17363109,0.20822687,0.16449706,0.13136095,0.049007002,0.11195705,0.18111241,0.29820764
basic_semantics_s50,0.16423157,0.1737252,0.208321,0.16449706,0.13136095,0.049007002,0.11195705,0.18111241,0.29820764
basic_semantics_s60,0.16423157,0.17363109,0.20822512,0.16449706,0.13136095,0.049007002,0.11195705,0.18111241,0.29820764
basic_semantics_s70,0.16423157,0.1737252,0.20832233,0.16449706,0.13136095,0.049007002,0.11195705,0.18111241,0.29820764
basic_semantics_s80,0.16423157,0.1737252,0.20831873,0.16449706,0.13136095,0.049007002,0.11195705,0.18111241,0.29820764
basic_semantics_s90,0.16423157,0.1737252,0.20831817,0.16449706,0.13136095,0.049007002,0.11195705,0.18111241,0.29820764
basic_semantics_s95,0.16423157,0.1737252,0.20831817,0.16449706,0.13136095,0.049007002,0.11195705,0.18111241,0.29820764
basic_semantics_s98,0.16423157,0.1737252,0.20832333,0.16449706,0.13136095,0.049007002,0.11195705,0.18111241,0.29820764
basic_semantics_s99,0.16423157,0.1737252,0.20883244,0.16449706,0.13136095,0.049125344,0.11195705,0.18111241,0.30018005
basic_colnames,0.15218894,0.15175623,0.19467132,0.15384616,0.11656805,0.046655342,0.10464896,0.15242197,0.29002813
deprived_semantics,0.100779384,0.09803961,0.1199833,0.10088757,0.07567625,0.046276297,0.06778018,0.085132144,0.14928241
deprived_semantics_s10,0.100779384,0.09803961,0.1199833,0.10088757,0.07567625,0.046276297,0.06778018,0.085132144,0.14928241
deprived_semantics_s20,0.100779384,0.09803961,0.12005004,0.10088757,0.07567625,0.046394635,0.06778018,0.085132144,0.14982034
deprived_semantics_s30,0.100779384,0.09803961,0.120035276,0.10088757,0.07567625,0.046394635,0.06778018,0.085132144,0.14982034
deprived_semantics_s40,0.100779384,0.09803961,0.12033916,0.10088757,0.07567625,0.04651298,0.06778018,0.085132144,0.15035826
deprived_semantics_s50,0.100779384,0.09803961,0.12007477,0.10088757,0.07567625,0.046394635,0.06778018,0.085132144,0.14982034
deprived_semantics_s60,0.100779384,0.09803961,0.120423876,0.10088757,0.07567625,0.046394635,0.06778018,0.085132144,0.15144466
deprived_semantics_s70,0.100779384,0.09800642,0.120675355,0.10088757,0.07567625,0.04651298,0.06778018,0.085132144,0.15198259
deprived_semantics_s80,0.10012057,0.09778257,0.120472,0.09970413,0.07567625,0.04651298,0.06732502,0.085132144,0.15198259
deprived_semantics_s90,0.10012057,0.097734734,0.121429734,0.09970413,0.07567625,0.046749666,0.06732502,0.085132144,0.15592736
deprived_semantics_s95,0.09973519,0.09745552,0.120816566,0.09970413,0.07567625,0.04663132,0.06732502,0.085132144,0.15547219
deprived_semantics_s98,0.09973519,0.09707981,0.12149091,0.09970413,0.07508454,0.046868015,0.06732502,0.08447468,0.15627542
deprived_semantics_s99,0.09755133,0.0943673,0.11877665,0.09970413,0.0739011,0.04654257,0.06732502,0.08356435,0.15490991
title_only,0.100779384,0.09803961,0.120813355,0.10088757,0.07567625,0.047238525,0.06778018,0.085132144,0.15349981
semantic_only,0.0,0.00037645438,0.0008594762,0.0,0.000591716,0.00035502957,0.0,0.00034806822,0.0011146638
deprived_colnames,0.06961673,0.07000493,0.09721936,0.06390533,0.051732887,0.033169482,0.03702527,0.06045142,0.13922684
exclude_desc,0.10464046,0.10631401,0.13638577,0.10414202,0.083732516,0.04356905,0.08466667,0.11433207,0.19380715
exclude_attr,0.15764922,0.1702148,0.20483701,0.1597633,0.13076924,0.04865197,0.099445164,0.17693861,0.2967561
exclude_tags,0.17576902,0.1779217,0.21070826,0.16923079,0.12899409,0.048076432,0.11707378,0.17610988,0.28938177
