OBJECTID,FRAREGION,RROWNER1,RROWNER2,TRKRGHTS1,TRKRGHTS2,STRACNET,SIGSYS,PASSNGR,RAIL_TYPE,ABAND_YR,SOURCE,SEGMENT_MILES,FULL_NAME,FULLNAME_ABBR,SHAPE.LEN
6665,8,BNSF, , , , ,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.09509978,Burlington Northen Santa Fe Railway,BNSF,0.00205263156946898
6666,8,BNSF, , , , ,MAN, ,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,2.80193856,Burlington Northen Santa Fe Railway,BNSF,0.0592097644944725
6667,8,BNSF, , , , ,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.41979532,Burlington Northen Santa Fe Railway,BNSF,0.00615837957777361
6668,8,BNSF, , , , ,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,1.27695831,Burlington Northen Santa Fe Railway,BNSF,0.0214409468743209
6669,8,BNSF, , , , ,Unk, ,A,7777,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.15597178,Burlington Northen Santa Fe Railway,BNSF,0.00226383040724842
6670,8,BNSF, , , , ,MAN, ,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.26257015,Burlington Northen Santa Fe Railway,BNSF,0.00381025694656856
6825,8,BNSF, , , , ,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.13760625,Burlington Northen Santa Fe Railway,BNSF,0.00282616312187525
6826,8,BNSF, , , , ,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.01712216,Burlington Northen Santa Fe Railway,BNSF,0.000350406003876931
6827,8,BNSF, , , ,,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,1.41096213,Burlington Northen Santa Fe Railway,BNSF,0.0253159880114587
6828,8,BNSF, , , , ,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.37090616,Burlington Northen Santa Fe Railway,BNSF,0.0077053922545507
6829,8,BNSF, , , , ,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.21236312,Burlington Northen Santa Fe Railway,BNSF,0.0042046021747024
6830,8,BNSF, , , ,S,CTC, ,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,2.82690945,Burlington Northen Santa Fe Railway,BNSF,0.0570315496238518
6831,8,BNSF, , , , ,MAN, ,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.47571585,Burlington Northen Santa Fe Railway,BNSF,0.0078727943405907
6832,8,CPRS, , , , ,MAN, ,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.03484988,Canadian Pacific Railway,CPRS,0.000681042354414173
6833,8,DMVW, , , , ,MAN, ,A,2005,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.36311674,Dakota Missouri Valley and Western Railroad,DMVW,0.00533873463629076
6834,8,RRVW, , , , ,Unk, ,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.56411508,Red River Valley and Western Railroad,RRVW,0.00913020199993253
6835,8, , , , , ,Unk, ,O,0, ,0.75120302,Unable to resolve name,Unknown,0.0126992061000307
6836,8,BNSF, , , , ,MAN, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.15112915,Burlington Northen Santa Fe Railway,BNSF,0.00272770621026247
6983,8,BNSF, , , ,S,CTC, ,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.2426554,Burlington Northen Santa Fe Railway,BNSF,0.00507690781103196
6984,8,BNSF, , , , ,Unk, ,A,2000,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,1.44310004,Burlington Northen Santa Fe Railway,BNSF,0.0306739518591169
6985,8,BNSF, , , , ,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,1.75223204,Burlington Northen Santa Fe Railway,BNSF,0.0268556239555282
6986,8,BNSF, , , , ,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.02080599,Burlington Northen Santa Fe Railway,BNSF,0.00044535956394346
6987,8,BNSF, , , , ,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.00770213,Burlington Northen Santa Fe Railway,BNSF,0.000166372036111842
6988,8,BNSF, , , , ,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.1798985,Burlington Northen Santa Fe Railway,BNSF,0.00389456235762377
6989,8,BNSF, ,, ,,Unk,,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.02971465,Burlington Northen Santa Fe Railway,BNSF,0.000642479709233375
6990,8,CPRS, , , , ,TWC, ,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.18898949,Canadian Pacific Railway,CPRS,0.00399423644973697
6991,8,RRVW, , , , ,Unk, ,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.02945473,Red River Valley and Western Railroad,RRVW,0.000620115064039731
6992,8,BNSF, ,, ,,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,1.69536119,Burlington Northen Santa Fe Railway,BNSF,0.0284501349247308
